uniprotswissprot	ensembl_gene_id	tpm	orf_length	ribo_reads	protein_synthesis_rate	rsquared	density	real_density	real_tpm	real_protein_synthesis_rate	real_protein_synthesis_per_mrna
O13297	YPL228W	5.22710312760507e-05	550	4.02108535875999e-05	1039.37326086957	0.899269051526304	0.00139868376616558	0.0129859415559538	2.09084125104203	0.100493880413562	0.0480638500715814
O13547	YLR390W-A	0.000530955238000078	239	0.000351354788621946	12433.8456521739	0.918110825257942	0.0027687903101226	0.0208172619107794	21.2382095200031	1.2021912099267	0.0566051111226877
O13563	YLR421C	0.000286703284638065	157	7.1710962712978e-05	9682.12521739131	0.945875741729197	0.00159313739590775	0.0142082970168839	11.4681313855226	0.936135621703041	0.0816293073590717
O14455	YPL249C-A	0.00274766608303357	101	0.00112474675358697	53527.1591304348	0.887134255488674	0.00405293297461505	0.0270882505804662	109.906643321343	5.17538032874854	0.047088876271263
O14467	YOR298C-A	0.000967977952570321	152	0.000429633631230794	48988.512173913	0.829387246928644	0.00292004279649714	0.0215966639668088	38.7191181028128	4.73655217945934	0.122331096666048
O43137	YBR085C-A	0.000178201549011897	86	4.65108754126755e-05	6047.24082608696	0.878717503636147	0.00303490141193679	0.0221802153303561	7.12806196047588	0.584689561765676	0.0820264421111515
O74700	YEL020W-A	8.04309023443126e-05	88	2.99036750234456e-05	1562.02847826087	0.940215564051188	0.00422492448795484	0.027877536671925	3.2172360937725	0.151027844381523	0.0469433513673002
P00044	YJR048W	5.94226418373866e-05	110	5.02287454352967e-05	59.0286586956522	0.849630759666813	0.00768435977236214	0.0421488633854078	2.37690567349546	0.00570730380630623	0.00240114863199981
P00330	YOL086C	0.00698401977885672	349	0.0112583854308352	547549.443478261	0.943214329008987	0.00461897088839409	0.0296494644191975	279.360791154269	52.9409119562887	0.189507309660552
P00359	YGR192C	0.0216139808494054	333	0.0253592485659682	2925175.04347826	0.883103343249906	0.00352336296252419	0.0245898429591822	864.559233976216	282.826393630813	0.327133621984534
P00427	YHR051W	0.000142648046016347	149	5.4793046961627e-05	2672.67973913043	0.893468269125645	0.00257794327004045	0.019814767263684	5.70592184065388	0.258413380639804	0.0452886295775462
P00445	YJR104C	0.000962291304744877	155	0.000831013593154233	153096.669565217	0.951823929647747	0.00557147091937124	0.0337510082762366	38.4916521897951	14.8024573868003	0.384562795948903
P00447	YHR008C	0.000201777398665481	234	0.000120257559463688	5578.553	0.825964850175874	0.00254697105666069	0.0196499443455518	8.07109594661924	0.539373542853789	0.0668277946912176
P00546	YBR160W	5.57570399893372e-05	299	4.40572954842022e-05	250.34982173913	0.8281164484862	0.0026426943459806	0.0201573874171576	2.23028159957349	0.0242055727182746	0.0108531464021869
P00560	YCR012W	0.00556825433229938	417	0.00963676195592535	1251877.86956522	0.891778634247065	0.00415026676627334	0.0275361681543507	222.730173291975	121.040313093314	0.543439226505891
P00729	YMR297W	0.000289011510301942	533	0.000280961687617275	9631.11	0.934137788746232	0.00182391566903523	0.015600670931659	11.5604604120777	0.931203113480244	0.0805506943743675
P00812	YPL111W	6.94795109239099e-05	334	0.000167389865600606	4569.99643478261	0.81021899443749	0.00721316623581467	0.0403454099773714	2.7791804369564	0.441859236231668	0.158989042365154
P00817	YBR011C	0.00198321451384958	288	0.00124522931383012	280747.617391304	0.876295768858872	0.00218015391933109	0.0176477288075975	79.3285805539832	27.1446443262451	0.342179881912461
P00830	YJR121W	0.000274620591382127	512	0.000405547833504995	42963.6804347826	0.950341914277893	0.00288429068019986	0.02141358246393	10.9848236552851	4.15402928503981	0.378160762102103
P00924	YGR254W	0.00272692145027809	438	0.0160126626152955	1150011.26086957	0.895207362093572	0.0134065432805745	0.061918882785975	109.076858011124	111.191136500267	1.01938338276051
P00925	YHR174W	0.0140125404437888	438	0.0226956036240554	2695329.82608696	0.9283411104027	0.00369786241389452	0.0254251532805969	560.501617751552	260.603349552475	0.464946650105817
P00927	YER086W	0.000179227589475483	577	0.000154350534714352	1537.69356521739	0.805105889441536	0.00149254509449771	0.0135821029096007	7.16910357901932	0.148674974692322	0.0207382935751445
P00931	YGL026C	0.000161683406144325	708	0.000491562417198374	17215.2526086956	0.834071293067339	0.004294177219479	0.0281925286069922	6.467336245773	1.66449109485472	0.257368881344714
P00937	YKL211C	0.000158255190369656	485	8.66574430632849e-05	2016.85408695652	0.813607979016325	0.00112903178669411	0.0111994052473684	6.33020761478624	0.195003567107973	0.0308052403609131
P00942	YDR050C	0.00567669904422367	249	0.00409321418006341	637528.386956522	0.897326748450893	0.00289580459292455	0.0214726197106147	227.067961768947	61.6407058860247	0.271463686051611
P00950	YKL152C	0.012458563039155	248	0.00604426022475864	1093843.04347826	0.922059624062278	0.00195624623471586	0.0163743732684883	498.3425215662	105.760400176684	0.212224314803196
P00958	YGR264C	0.00021640923584012	752	0.000415362153218888	10920.8634782609	0.827275759401214	0.0025523092242836	0.0196783961160759	8.6563694336048	1.05590550547644	0.121980180441159
P01097	YDL181W	2.49879005115453e-05	86	1.46464793110176e-05	908.271939130435	0.963480599848988	0.00681561457660809	0.0387953276856595	0.999516020461812	0.0878180871784249	0.0878606099158369
P01098	YDL130W-A	7.11098170452895e-05	87	2.19107901909517e-05	4252.17682608696	0.863923805564796	0.00354167924456881	0.0246781118918043	2.84439268181158	0.41113021235566	0.144540595602226
P01119	YOR101W	0.00015805230957703	310	3.65894124704646e-05	5150.68704347826	0.959785878362017	0.000746780373686509	0.00841664921829595	6.3220923830812	0.498004467963642	0.0787720959751191
P01120	YNL098C	0.000230596549575311	323	0.000148179084763258	377.069412173913	0.866469351656045	0.00198944336852278	0.0165659004860565	9.22386198301244	0.0364577095074725	0.00395254282583765
P01123	YFL038C	0.000911322016928486	207	0.000230422226819857	18403.8191304348	0.811232709798605	0.00122146818964603	0.0118253190331467	36.4528806771394	1.77941002378627	0.048813975486502
P02293	YDR224C	0.00103299896927011	132	0.000548862615702633	80847.6530434782	0.917052362872902	0.00402522194373273	0.02696012250861	41.3199587708044	7.81691686956721	0.189180171086967
P02309	YNL030W	0.00127109149276709	104	0.00100689991676043	27551.9513043478	0.827523139236706	0.00761686316362148	0.0418926678785921	50.8436597106836	2.66391546115295	0.0523942508527408
P02309	YBR009C	0.00126678673570565	104	0.00108240374975585	27551.9513043478	0.827523139236706	0.00821584886365226	0.044142583011737	50.671469428226	2.66391546115295	0.0525722954398682
P02400	YDR382W	0.00608671060190902	111	0.00122227923432449	257573.986956522	0.965688729874762	0.00180910927983012	0.0155130406658475	243.468424076361	24.9040555663296	0.102288646508505
P02406	YGL103W	0.00372989965194162	150	0.00236137246618319	97613.3391304348	0.90438691637672	0.00422061840180958	0.0278578982391581	149.195986077665	9.43794072702563	0.0632586772281706
P02407	YML024W	0.00362378424417764	137	0.00172162024989872	106855.852173913	0.928023190506489	0.00346780335703891	0.0243212208992865	144.951369767106	10.3315715673409	0.0712761223570408
P02557	YFL037W	0.000539923880252039	458	0.000349276209992585	8140.77652173913	0.941584040679212	0.00141244319820582	0.0130740904918715	21.5969552100816	0.787107243421615	0.0364452875771206
P02829	YPL240C	0.000272794144082647	710	0.00298458176801541	56827.7739130435	0.916487034466635	0.015409554728953	0.0681732828219515	10.9117657633059	5.4945068636925	0.503539663779207
P02992	YOR187W	0.000223349596661634	438	0.000168954156734043	4184.98326086957	0.86983323986088	0.00172706863873168	0.0150234034876312	8.93398386646536	0.40463346824867	0.0452914930558028
P02994	YBR118W	0.0101972977344879	459	0.0297570709441386	408881.713043478	0.890626289559994	0.00635758821698524	0.0369743432600205	407.891909379516	39.5335453785932	0.096921621805962
P02994	YPR080W	0.00979680085968814	459	0.0297253244055881	408881.713043478	0.890626289559994	0.00661042888156927	0.0379843974017782	391.872034387526	39.5335453785932	0.10088381387149
P04046	YMR300C	0.000168221132911316	511	0.000138193335884056	3149.27060869565	0.875166306721888	0.00160762831544561	0.0142974830421647	6.72884531645264	0.304493521100809	0.0452519721855241
P04050	YDL140C	0.00012661990131687	1734	0.000409426418370092	3674.79426086956	0.968725374823887	0.00186476795886896	0.0158413202214823	5.0647960526748	0.355304825416911	0.070151852457962
P04147	YER165W	0.00069869689081727	578	0.00123487927797464	87589.1252173913	0.95156269887345	0.00305779139299937	0.0222956888159175	27.9478756326908	8.46872957628412	0.303018722695982
P04161	YDR408C	0.000217947248030395	215	5.25858964582842e-05	1316.80330434783	0.953653768496307	0.00112222369005615	0.0111526919881653	8.7178899212158	0.127317758477452	0.0146041943208772
P04449	YGL031C	0.0057344422481818	156	0.00177358471563276	41349.1369565217	0.904922939923748	0.00198260481150062	0.0165265274331201	229.377689927272	3.99792392295738	0.0174294366824646
P04801	YIL078W	0.000727558182278191	735	0.000975667665705842	22690.5782608696	0.859314452732171	0.0018245125040086	0.0156041986272887	29.1023272911276	2.19388389533386	0.0753851701751257
P04806	YFR053C	1.83371889150322e-05	486	0.000399687098916021	82656.1391304348	0.833817165358503	0.0448488283514728	0.142640363685425	0.733487556601288	7.99177396027219	10.8955821927002
P04807	YGL253W	0.000937856586173156	487	0.00161813060566674	285252.786956522	0.867863404823532	0.00354281258274595	0.0246835689806802	37.5142634469262	27.5802356470677	0.735193313500268
P04911	YDR225W	0.000735498031474791	133	0.000637020063962364	7688.21591304348	0.938920777418464	0.00651208342660883	0.0375929678857187	29.4199212589916	0.743350516745676	0.0252669104788472
P05030	YGL008C	0.00104118665779794	919	0.00753274752416107	60581.7452173913	0.953251519499989	0.00787243902881776	0.0428591140891215	41.6474663119176	5.85746707975526	0.140644019875925
P05317	YLR340W	0.0043342049832607	313	0.0030157818761015	270042.517391304	0.865130633713946	0.00222303419043424	0.0178868781782597	173.368199330428	26.1096003437636	0.150602016082549
P05318	YDL081C	0.00402264480029547	107	0.000958717606985996	85044.6613043478	0.911230421845253	0.00222738473820135	0.0179110618046761	160.905792011819	8.22271299896705	0.0511026538955358
P05319	YOL039W	0.00514785357665564	107	0.00130575452350674	189445.304347826	0.908189972764155	0.00237056340513269	0.0186990300076422	205.914143066226	18.31689776598	0.0889540538266427
